kind,depth,cp,problem,pRef_method,pRef_size,mse,mae,r_sq,evs
iai,6,0.25,GC_S,uniform,10000,395.2854172500014,15.40620249999993,-0.000541436788140004,-2.220446049250313e-16
iai,2,0.25,GC_S,GA,10000,917.9684500986482,23.58920275743676,0.41629742462099684,0.4163319884190483
iai,3,0.25,GC_S,GA,10000,563.6972265282491,16.762910248728584,0.6415655431042522,0.6417466691121387
iai,4,0.25,GC_S,GA,10000,424.93095312481785,14.487676177723925,0.7298019428984122,0.729984087718101
iai,5,0.25,GC_S,GA,10000,332.3919115213277,12.801022863977952,0.7886441361145922,0.7888031439790888
iai,6,0.25,GC_S,GA,10000,251.72377769723647,10.779741215093395,0.8399380530886232,0.8401926334895431
iai,2,0.25,GC_S,SA,10000,865.2914483963709,22.411505211747972,0.2734793427267995,0.2739862865854339
iai,3,0.25,GC_S,SA,10000,578.6684842340602,18.565802676076473,0.5141352566373297,0.5146699425955565
iai,4,0.25,GC_S,SA,10000,369.7537596412658,15.092927385481898,0.6895453607201787,0.6896503350372133
iai,5,0.25,GC_S,SA,10000,187.71454183251356,10.675780735066791,0.8423901073278336,0.8430721173064736
iai,6,0.25,GC_S,SA,10000,131.90629048819696,8.558359456041384,0.8892481313185754,0.889281446643047
iai,2,0.25,GC_S,Tabu,10000,194.28940453780223,11.078218508440415,0.07269641152121986,0.07282476066427856
iai,3,0.25,GC_S,Tabu,10000,172.92503970914234,10.25713065250947,0.17466415504442123,0.17483981136153093
iai,4,0.25,GC_S,Tabu,10000,152.98672605102195,9.767233629721002,0.26982564801092623,0.26989016750029704
iai,5,0.25,GC_S,Tabu,10000,116.4620470979079,8.505928283767316,0.4441504700043365,0.4444012731346564
iai,6,0.25,GC_S,Tabu,10000,88.73259662404668,7.399170604328648,0.5764974654162922,0.5766342544990875
iai,2,0.25,GC_S,PSO,10000,917.9684500986482,23.58920275743676,0.41629742462099684,0.4163319884190483
iai,3,0.25,GC_S,PSO,10000,563.6972265282491,16.762910248728584,0.6415655431042522,0.6417466691121387
iai,4,0.25,GC_S,PSO,10000,424.93095312481785,14.487676177723925,0.7298019428984122,0.729984087718101
iai,5,0.25,GC_S,PSO,10000,332.3919115213277,12.801022863977952,0.7886441361145922,0.7888031439790888
iai,6,0.25,GC_S,PSO,10000,251.72377769723647,10.779741215093395,0.8399380530886232,0.8401926334895431
iai,2,0.25,GC_L,uniform,10000,228.62935624999994,11.965480500000002,-0.0007126305985525327,0.0
iai,3,0.25,GC_L,uniform,10000,228.62935624999994,11.965480500000002,-0.0007126305985525327,0.0
iai,4,0.25,GC_L,uniform,10000,228.62935624999994,11.965480500000002,-0.0007126305985525327,0.0
iai,5,0.25,GC_L,uniform,10000,225.73099733415177,11.905518351927084,0.011973510948054766,0.012348755771213304
iai,6,0.25,GC_L,uniform,10000,224.60074668379542,11.887690505431188,0.016920627626794138,0.017318749505272346
iai,2,0.25,GC_L,GA,10000,331.6258630837418,13.826294269241416,0.40591018749629804,0.4072846671310276
iai,3,0.25,GC_L,GA,10000,231.23428530804193,11.218038050340898,0.5857562738754407,0.5860004036915232
iai,4,0.25,GC_L,GA,10000,171.92560004491884,8.95124148890154,0.6920045784562943,0.692254424867482
iai,5,0.25,GC_L,GA,10000,123.7231777846919,7.967609859276478,0.7783566130549083,0.7787479271419653
iai,6,0.25,GC_L,GA,10000,109.59812587658826,7.1467086544784095,0.8036608802241167,0.8042836017608697
iai,2,0.25,GC_L,SA,10000,342.4555945488425,14.899986081018483,0.12184368856484618,0.12497194330772476
iai,3,0.25,GC_L,SA,10000,266.835840920712,12.513867717420624,0.31575485536940273,0.3159721618980401
iai,4,0.25,GC_L,SA,10000,211.92618353176894,11.333569464069116,0.45655927778909555,0.4569506690596611
iai,5,0.25,GC_L,SA,10000,152.02802525977341,9.601372835495454,0.6101556755912421,0.6102478547810535
iai,6,0.25,GC_L,SA,10000,100.42076401896603,7.45489209723052,0.7424917883482909,0.7424935556437007
iai,2,0.25,GC_L,Tabu,10000,68.97221357155952,6.523355829664118,0.026500172370989228,0.026662917355541715
iai,3,0.25,GC_L,Tabu,10000,64.95748090668313,6.26984423768498,0.08316562291766139,0.08347382165019168
iai,4,0.25,GC_L,Tabu,10000,60.540964153563124,6.063004105443542,0.14550200557445703,0.14580573127443663
iai,5,0.25,GC_L,Tabu,10000,54.41755459065036,5.761387097455155,0.23193011691544885,0.2320877290817297
iai,6,0.25,GC_L,Tabu,10000,47.11658682006665,5.345587199919437,0.3349787287859972,0.33517146439352163
iai,2,0.25,GC_L,PSO,10000,331.6258630837418,13.826294269241416,0.40591018749629804,0.4072846671310276
iai,3,0.25,GC_L,PSO,10000,231.23428530804193,11.218038050340898,0.5857562738754407,0.5860004036915232
iai,4,0.25,GC_L,PSO,10000,171.92560004491884,8.95124148890154,0.6920045784562943,0.692254424867482
iai,5,0.25,GC_L,PSO,10000,123.7231777846919,7.967609859276478,0.7783566130549083,0.7787479271419653
iai,6,0.25,GC_L,PSO,10000,109.59812587658826,7.1467086544784095,0.8036608802241167,0.8042836017608697
iai,2,0.25,BT,uniform,10000,29.171285708398617,4.242242383665206,0.07096162443681919,0.07099856914510727
iai,3,0.25,BT,uniform,10000,27.32110789436177,4.110364094587666,0.1298855336548812,0.1298958240255661
iai,4,0.25,BT,uniform,10000,26.32774635572583,4.035352534162552,0.1615218146000017,0.16161401988136026
iai,5,0.25,BT,uniform,10000,25.204968180921952,3.929517247217673,0.1972797178362402,0.19730301234640513
iai,6,0.25,BT,uniform,10000,24.989643464574847,3.916730546456235,0.204137314950519,0.2044773232847139
iai,2,0.25,BT,GA,10000,135.28727554375337,8.468137868775097,0.5396288780476406,0.5397392228795359
iai,3,0.25,BT,GA,10000,76.37166920200585,6.189864477589946,0.7401136884855739,0.740184515536688
iai,4,0.25,BT,GA,10000,58.257657355288906,5.425232406527168,0.801754134147697,0.8018760073940538
iai,5,0.25,BT,GA,10000,40.112316362087604,4.462868791642272,0.8635011902375846,0.8635163258395185
iai,6,0.25,BT,GA,10000,32.67695663380786,4.0314264821243935,0.8888030886346774,0.888818023646839
iai,2,0.25,BT,SA,10000,105.85512659480452,8.05914500039382,0.44679504911628765,0.4469696127957835
iai,3,0.25,BT,SA,10000,54.43861498253857,5.389318799594238,0.7155006819568559,0.7158170174330306
iai,4,0.25,BT,SA,10000,31.1083236520083,4.277312306487064,0.8374261199095432,0.8384099229155025
iai,5,0.25,BT,SA,10000,15.616068043943804,3.133739110629469,0.9183895345162183,0.9184561547590149
iai,6,0.25,BT,SA,10000,11.032703492682508,2.570531508995143,0.9423424600194702,0.9423442806723652
iai,2,0.25,BT,Tabu,10000,34.16742666272688,4.599181139131962,0.07316108788171061,0.07328072576862787
iai,3,0.25,BT,Tabu,10000,30.746962525181626,4.402239297008582,0.16594592917151274,0.16595024509636835
iai,4,0.25,BT,Tabu,10000,26.35440927825571,4.0447929377228675,0.2851000379368568,0.2851569520292576
iai,5,0.25,BT,Tabu,10000,22.19978568415896,3.718741005160648,0.3977999743477627,0.39782947420516235
iai,6,0.25,BT,Tabu,10000,18.048178905576215,3.300597589284019,0.5104180754470232,0.5104888554612309
iai,2,0.25,BT,PSO,10000,135.28727554375337,8.468137868775097,0.5396288780476406,0.5397392228795359
iai,3,0.25,BT,PSO,10000,76.37166920200585,6.189864477589946,0.7401136884855739,0.740184515536688
iai,4,0.25,BT,PSO,10000,58.257657355288906,5.425232406527168,0.801754134147697,0.8018760073940538
iai,5,0.25,BT,PSO,10000,40.112316362087604,4.462868791642272,0.8635011902375846,0.8635163258395185
iai,6,0.25,BT,PSO,10000,32.67695663380786,4.0314264821243935,0.8888030886346774,0.888818023646839
