kind,depth,ps_budget,ps_population,avoid_ancestors,metrics,problem,pRef_method,pRef_size,runtime_seconds,mse,mae,r_sq,evs,cp
ps,4,5000.0,100.0,False,simplicity variance,BT,PSO,10000,146.919,20.37666500723752,3.1263709047751167,0.8925135917388236,0.8926646407733603,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,PSO,10000,155.086,28.79046920690066,3.9880186208324737,0.8046030327006835,0.8047033792080855,
ps,5,5000.0,100.0,False,simplicity variance,BT,PSO,10000,273.463,20.254252964939383,3.2540231837234055,0.8828603339856156,0.8845266356872181,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,PSO,10000,242.031,44.763243012080224,4.422823026490824,0.7032432941251805,0.7114498420336062,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,ACO,10000,105.978,193.68390623806533,10.814216008771927,0.44562591021391806,0.4464420115447938,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,ACO,10000,96.527,102.40542552606053,7.872433601100013,0.4358398710675293,0.4431172356940847,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,ACO,10000,156.749,78.57264187946409,6.604708250845174,0.3320128014184319,0.4634994576080902,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,ACO,10000,143.381,137.53703293868554,9.71283357814507,0.1495265269553726,0.15688508353555197,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,ACO,10000,249.259,101.35323813482196,7.755466757683875,0.4726472988323368,0.49115986069794193,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,ACO,10000,240.384,191.25453378992702,10.007314540441158,0.14364719456827157,0.14930433983366564,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,BBO,10000,78.278,51.130833522839325,4.859336154682686,0.8900489844106468,0.8902697829857895,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BBO,10000,72.632,190.65970251330742,9.890142350967094,0.720807445206676,0.7336820011974654,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,BBO,10000,167.001,55.89760022529734,5.067744026661785,0.8806940765516016,0.880780248955678,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BBO,10000,136.702,75.17999792454741,5.352983886091416,0.842701852108288,0.8454510075848504,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,BBO,10000,250.881,48.30613226397803,4.1649444404179965,0.8563940538648787,0.8571946158921521,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BBO,10000,254.591,65.16846977508112,5.137181190213333,0.896281140497229,0.8977689068147597,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,BRO,10000,38.151,9004.362118873143,80.84556159026722,-9.558123014374864e-05,0.0,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BRO,10000,90.945,4006.4934599278376,49.29312662950272,0.3929647369531615,0.39397217673236773,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,BRO,10000,123.786,2829.1349143731013,40.923765375158005,0.5548592156232848,0.5574040627078072,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BRO,10000,166.205,3311.9319358035546,43.54719611455595,0.5706985658250003,0.5710860372352147,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,BRO,10000,263.721,2467.2976627402822,38.375571846459295,0.6620030749421139,0.6627513472220306,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BRO,10000,298.83,2250.472980608757,36.19855808725993,0.7426589347699157,0.7426611039039409,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,CRO,10000,59.426,52.47223103846908,4.877210699582855,0.8237722630580304,0.8275202197735709,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,CRO,10000,59.438,65.20117620352163,6.035025466329348,0.8117854239634166,0.8205609827983318,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,CRO,10000,110.453,66.83720833101266,5.616910829582808,0.8325220220433842,0.8460642825550233,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,CRO,10000,117.135,32.65737964519856,4.376483274718571,0.9313338377873362,0.9316378756879415,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,CRO,10000,208.587,243.57060183410744,8.75098318146413,0.6299819245545882,0.6390648302672277,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,CRO,10000,229.775,44.25509058931998,3.8135058371222255,0.8660402669970506,0.868060586771297,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,PSO,10000,60.066,126.47325147213353,7.651986918098317,0.7230647362940947,0.7231913160708081,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,PSO,10000,60.729,81.47139116051896,6.691935120511857,0.7728269470156796,0.7855914725208553,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,PSO,10000,123.659,88.3367338074725,6.435493836035342,0.802173138352667,0.8025856823001223,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,PSO,10000,119.36,134.56175774878503,7.972432174137541,0.7662811450229459,0.7673133770139444,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,PSO,10000,232.237,73.4004302910261,6.583957252528683,0.7500476455352515,0.7516268582439399,
