total_ps_budget,island_amount,pRef_origin_method,miner_algorith,population_size,ps_budget_per_run,mined_count,target_count,found_count,uses_custom_crowding_operator,runtime
continuous,2 5 10 20,GA SA uniform,MOEAD NSGAII NSGAIII,continuous,continuous,continuous,continuous,continuous,False True,continuous
,,,,,,,,,,
10000.0,5,GA,MOEAD,100.0,1000.0,50.0,30.0,1.0,True,48.15672755241394
10000.0,5,GA,MOEAD,200.0,1000.0,100.0,30.0,1.0,True,50.718631982803345
10000.0,5,GA,MOEAD,500.0,1000.0,250.0,30.0,1.0,True,56.266570806503296
10000.0,5,GA,NSGAII,100.0,1000.0,50.0,30.0,7.0,False,98.22531652450562
10000.0,5,GA,NSGAII,200.0,1000.0,90.0,30.0,4.0,False,87.70814347267151
10000.0,5,GA,NSGAII,500.0,1000.0,106.0,30.0,5.0,False,86.58612370491028
10000.0,5,GA,NSGAII,100.0,1000.0,50.0,30.0,5.0,True,102.2648515701294
10000.0,5,GA,NSGAII,200.0,1000.0,90.0,30.0,3.0,True,83.3629674911499
10000.0,5,GA,NSGAII,500.0,1000.0,127.0,30.0,1.0,True,85.6835618019104
10000.0,5,GA,NSGAIII,100.0,1000.0,42.0,30.0,0.0,False,96.61905455589294
10000.0,5,GA,NSGAIII,200.0,1000.0,41.0,30.0,1.0,False,87.7577793598175
10000.0,5,GA,NSGAIII,500.0,1000.0,35.0,30.0,0.0,False,81.68849754333496
10000.0,5,GA,NSGAIII,100.0,1000.0,50.0,30.0,0.0,True,102.06864953041077
10000.0,5,GA,NSGAIII,200.0,1000.0,90.0,30.0,0.0,True,84.1281909942627
10000.0,5,GA,NSGAIII,500.0,1000.0,153.0,30.0,0.0,True,78.79014039039612
10000.0,5,GA,MOEAD,100.0,1000.0,50.0,30.0,1.0,False,94.43687415122986
10000.0,5,GA,MOEAD,200.0,1000.0,100.0,30.0,0.0,False,90.08348083496094
10000.0,5,GA,MOEAD,500.0,1000.0,250.0,30.0,2.0,False,93.47598361968994
10000.0,5,GA,MOEAD,100.0,1000.0,50.0,30.0,0.0,True,85.53824472427368
10000.0,5,GA,MOEAD,200.0,1000.0,100.0,30.0,0.0,True,94.89212274551392
10000.0,5,GA,MOEAD,500.0,1000.0,250.0,30.0,3.0,True,87.47711277008057
10000.0,5,SA,NSGAII,100.0,1000.0,43.0,30.0,0.0,False,15.57292366027832
10000.0,5,SA,NSGAII,200.0,1000.0,60.0,30.0,1.0,False,11.452352523803711
10000.0,5,SA,NSGAII,500.0,1000.0,47.0,30.0,0.0,False,12.332953214645386
10000.0,5,SA,NSGAII,100.0,1000.0,45.0,30.0,0.0,True,13.01787543296814
10000.0,5,SA,NSGAII,200.0,1000.0,59.0,30.0,1.0,True,11.425203084945679
10000.0,5,SA,NSGAII,500.0,1000.0,38.0,30.0,0.0,True,12.405843257904053
10000.0,5,SA,NSGAIII,100.0,1000.0,37.0,30.0,1.0,False,10.988915920257568
10000.0,5,SA,NSGAIII,200.0,1000.0,37.0,30.0,0.0,False,11.32660961151123
10000.0,5,SA,NSGAIII,500.0,1000.0,33.0,30.0,1.0,False,11.893995523452759
10000.0,5,SA,NSGAIII,100.0,1000.0,50.0,30.0,0.0,True,12.594407320022583
10000.0,5,SA,NSGAIII,200.0,1000.0,65.0,30.0,0.0,True,11.911804676055908
10000.0,5,SA,NSGAIII,500.0,1000.0,200.0,30.0,1.0,True,12.151301383972168
10000.0,5,SA,MOEAD,100.0,1000.0,50.0,30.0,0.0,False,22.102799892425537
10000.0,5,SA,MOEAD,200.0,1000.0,100.0,30.0,0.0,False,21.987943649291992
10000.0,5,SA,MOEAD,500.0,1000.0,250.0,30.0,0.0,False,21.012563228607178
10000.0,5,SA,MOEAD,100.0,1000.0,50.0,30.0,0.0,True,20.8730628490448
10000.0,5,SA,MOEAD,200.0,1000.0,100.0,30.0,0.0,True,18.083857774734497
10000.0,5,SA,MOEAD,500.0,1000.0,250.0,30.0,0.0,True,19.541491508483887
10000.0,5,SA,NSGAII,100.0,1000.0,49.0,30.0,1.0,False,15.731652736663818
10000.0,5,SA,NSGAII,200.0,1000.0,49.0,30.0,1.0,False,21.84871792793274
10000.0,5,SA,NSGAII,500.0,1000.0,50.0,30.0,1.0,False,22.06774353981018
10000.0,5,SA,NSGAII,100.0,1000.0,49.0,30.0,2.0,True,25.598960876464844
10000.0,5,SA,NSGAII,200.0,1000.0,55.0,30.0,1.0,True,24.50934147834778
10000.0,5,SA,NSGAII,500.0,1000.0,50.0,30.0,1.0,True,22.548375129699707
10000.0,5,SA,NSGAIII,100.0,1000.0,34.0,30.0,1.0,False,22.505393981933594
10000.0,5,SA,NSGAIII,200.0,1000.0,29.0,30.0,0.0,False,21.3960542678833
10000.0,5,SA,NSGAIII,500.0,1000.0,23.0,30.0,0.0,False,19.13509726524353
10000.0,5,SA,NSGAIII,100.0,1000.0,46.0,30.0,0.0,True,19.13978910446167
10000.0,5,SA,NSGAIII,200.0,1000.0,63.0,30.0,0.0,True,18.711037158966064
10000.0,5,SA,NSGAIII,500.0,1000.0,200.0,30.0,0.0,True,17.93892788887024
10000.0,5,SA,MOEAD,100.0,1000.0,50.0,30.0,0.0,False,26.476728677749634
10000.0,5,SA,MOEAD,200.0,1000.0,100.0,30.0,0.0,False,28.274436235427856
10000.0,5,SA,MOEAD,500.0,1000.0,250.0,30.0,0.0,False,32.225313901901245
10000.0,5,SA,MOEAD,100.0,1000.0,50.0,30.0,0.0,True,29.8248610496521
10000.0,5,SA,MOEAD,200.0,1000.0,100.0,30.0,0.0,True,29.94091272354126
10000.0,5,SA,MOEAD,500.0,1000.0,250.0,30.0,0.0,True,31.09823513031006
10000.0,5,SA,NSGAII,100.0,1000.0,50.0,30.0,2.0,False,51.60625600814819
10000.0,5,SA,NSGAII,200.0,1000.0,59.0,30.0,0.0,False,42.008880376815796
10000.0,5,SA,NSGAII,500.0,1000.0,55.0,30.0,4.0,False,60.67436695098877
10000.0,5,SA,NSGAII,100.0,1000.0,49.0,30.0,2.0,True,47.009259939193726
10000.0,5,SA,NSGAII,200.0,1000.0,58.0,30.0,3.0,True,45.71878218650818
10000.0,5,SA,NSGAII,500.0,1000.0,58.0,30.0,3.0,True,56.11910820007324
10000.0,5,SA,NSGAIII,100.0,1000.0,40.0,30.0,5.0,False,57.24698352813721
10000.0,5,SA,NSGAIII,200.0,1000.0,37.0,30.0,1.0,False,67.69995880126953
10000.0,5,SA,NSGAIII,500.0,1000.0,30.0,30.0,2.0,False,72.51043963432312
