kind,depth,problem,pRef_method,pRef_size,mse,mae,r_sq,evs,cp,ps_budget,ps_population,avoid_ancestors,metrics
naive,2,GC_S,PSO,10000,636.7504592462844,19.64066163633286,0.5175306432644384,0.5180306185166814,,,,,
naive,3,GC_S,PSO,10000,463.3168144498138,16.440875669548653,0.6489422784288701,0.649898233215365,,,,,
naive,4,GC_S,PSO,10000,328.967874426551,13.20768392333164,0.7507392158788314,0.7516836819527495,,,,,
naive,5,GC_S,PSO,10000,266.6991796122141,11.912812138166235,0.7979205515113137,0.798135062909891,,,,,
naive,2,GC_L,GA,10000,214.67585552914576,9.973354887638383,0.6190847268804529,0.6191631359448677,,,,,
naive,3,GC_L,GA,10000,177.59404964014038,8.35643816953913,0.6848817219973948,0.6851665685131101,,,,,
naive,4,GC_L,GA,10000,133.08805572245848,7.544587324209219,0.763852003899027,0.7640076754500185,,,,,
naive,5,GC_L,GA,10000,107.76152054848302,6.949023421295753,0.8087907513850333,0.8088780285886997,,,,,
naive,2,GC_L,uniform,10000,228.60360243528208,11.87678840058912,-0.002286907495032686,0.0019122713566206428,,,,,
naive,3,GC_L,uniform,10000,228.91567951416906,11.881630827684187,-0.003655174516923765,0.0005760505631933199,,,,,
naive,4,GC_L,uniform,10000,229.26238298647797,11.89921940779007,-0.005175257085074492,-0.001029921336493267,,,,,
naive,5,GC_L,uniform,10000,232.39593303573528,11.961069755019132,-0.018913956540784538,-0.014342872650147998,,,,,
naive,2,GC_L,SA,10000,272.95122147746713,12.986506437353972,0.28916018313379166,0.29157462748532836,,,,,
naive,3,GC_L,SA,10000,226.90700684007166,11.781784327528653,0.40907194217787624,0.41178751621634,,,,,
naive,4,GC_L,SA,10000,154.49062575473062,9.757497747087669,0.5976640532158072,0.5993266501286523,,,,,
naive,5,GC_L,SA,10000,113.78245057750836,8.49423907123047,0.7036793025021089,0.7042547389762596,,,,,
naive,2,GC_L,Tabu,10000,61.180030115295814,6.301764153203968,0.06449370616514338,0.0652948624166384,,,,,
naive,3,GC_L,Tabu,10000,57.6600907068971,6.118121518885191,0.11831724080984218,0.11906022646417214,,,,,
naive,4,GC_L,Tabu,10000,53.62483157999589,5.90097007836812,0.1800205499346741,0.18063947510470124,,,,,
naive,5,GC_L,Tabu,10000,46.7787159474572,5.4612422716669204,0.2847047786035959,0.28473371496628774,,,,,
naive,2,GC_L,PSO,10000,214.67585552914576,9.973354887638383,0.6190847268804529,0.6191631359448677,,,,,
naive,3,GC_L,PSO,10000,177.59404964014038,8.35643816953913,0.6848817219973948,0.6851665685131101,,,,,
naive,4,GC_L,PSO,10000,133.08805572245848,7.544587324209219,0.763852003899027,0.7640076754500185,,,,,
