kind,depth,runtime_seconds,problem,pRef_method,pRef_size,mse,mae,r_sq,evs,ps_budget,ps_population,avoid_ancestors,metrics,cp
naive,4,4.344,SAT_L,CRO,10000,23.97345529879339,3.707502246888057,0.7839696856902416,0.7843312524482643,,,,,
naive,5,4.344,SAT_L,CRO,10000,18.990097808090034,3.212448460630276,0.8288758651131436,0.8304145569359414,,,,,
naive,3,9.776,SAT_L,BBO,10000,75.44402176877308,6.509895967498939,0.653649163737182,0.6768799973282357,,,,,
naive,4,9.776,SAT_L,BBO,10000,60.619468071303196,5.402789051478198,0.7217062005966215,0.7315449219658592,,,,,
naive,5,9.776,SAT_L,BBO,10000,47.8245029360414,4.751362707789929,0.7804457371517336,0.7845822614458985,,,,,
naive,3,19.431,SAT_L,ACO,10000,68.04570682472861,6.346129065941628,0.6352491770132569,0.6369254477874067,,,,,
naive,4,19.431,SAT_L,ACO,10000,50.897536194212975,5.249254913113402,0.7271698821109163,0.7272394047457715,,,,,
naive,5,19.431,SAT_L,ACO,10000,45.666124715007676,4.875640769252711,0.7552122338104504,0.7564011147347145,,,,,
naive,3,5.186,SAT_L,BRO,10000,14.264609292933894,2.8642689716528715,0.3361248258765339,0.3366808024660084,,,,,
naive,4,5.186,SAT_L,BRO,10000,12.812454445094229,2.667096857691752,0.4037081387220771,0.40481296558505886,,,,,
naive,5,5.186,SAT_L,BRO,10000,12.772048640158946,2.613410164793521,0.4055886256135265,0.4068030492659013,,,,,
naive,3,4.829,SAT_L,PSO,10000,24.140527944714616,3.6330674107223193,0.7064456544634131,0.7140218689490914,,,,,
naive,4,4.829,SAT_L,PSO,10000,25.389449566085936,3.759771904464002,0.6912584816713441,0.697225994758861,,,,,
naive,5,4.829,SAT_L,PSO,10000,28.08157342145179,3.6944326841852466,0.6585216393671813,0.670448086548216,,,,,
naive,3,1.511,GC_S,CRO,10000,204.2495572817833,10.114346983920434,0.8261050546843505,0.8329130320736808,,,,,
naive,4,1.511,GC_S,CRO,10000,162.5189508491938,8.54180811240527,0.8616338539638153,0.8651645438184279,,,,,
naive,5,1.511,GC_S,CRO,10000,298.66681788662436,8.725093464972664,0.7457196448541543,0.7525993401790532,,,,,
naive,3,6.989,GC_S,BBO,10000,854.4739090697037,19.455658861054356,0.6173452907864434,0.6361806785892575,,,,,
naive,4,6.989,GC_S,BBO,10000,443.99938972375594,14.219308948571308,0.801166009210609,0.8125881487977797,,,,,
naive,5,6.989,GC_S,BBO,10000,465.8178287250932,12.272461294037376,0.7913951685296569,0.802788465000849,,,,,
