kind,depth,ps_budget,ps_population,avoid_ancestors,metrics,problem,pRef_method,pRef_size,mse,mae,r_sq,evs,cp
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,CRO,10000,16.519063341434265,2.5237349759000236,0.9214658997963194,0.9215597601308305,
ps,5,5000.0,100.0,False,simplicity variance,BT,CRO,10000,16.531925070260865,2.3913911207484757,0.9302834697098623,0.9306247929984308,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,CRO,10000,20.32623163632339,2.3865218605702103,0.8708718881507986,0.8711272489663194,
ps,3,5000.0,100.0,False,simplicity variance,BT,PSO,10000,31.22930745744478,4.455338936948589,0.3850759984445351,0.43623033226195485,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,PSO,10000,37.72207224700241,5.045919694874366,-0.05875785171814685,-0.050918631378525925,
ps,4,5000.0,100.0,False,simplicity variance,BT,PSO,10000,39.195347657272904,4.94642422489737,0.02116087449310111,0.02776015533936471,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,PSO,10000,30.027673890129336,4.3957680212990855,0.36342219815779675,0.3724849307177355,
ps,5,5000.0,100.0,False,simplicity variance,BT,PSO,10000,29.08482597945595,4.457858899738929,0.20499805428602502,0.2123740159235994,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,PSO,10000,37.15630602152726,4.742919131879342,-0.04492313364960032,-0.02108290027554105,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,ACO,10000,134.8385058519975,8.946591512788883,0.013912363602142874,0.02918961131978004,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,ACO,10000,136.75496707947175,9.118240858918117,0.1760174669277822,0.22615164932295884,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,ACO,10000,118.10529420317287,8.476203309651861,0.36459761637450616,0.40101698981708866,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,ACO,10000,257.4627499581673,12.002787874957686,0.2169220786913001,0.2738248303386219,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,ACO,10000,124.45934193613434,8.188368806161098,0.4824424160213284,0.4925561698664346,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,ACO,10000,150.90475598958918,8.52917677191267,0.25605520310470953,0.2652979656427914,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,BBO,10000,87.11894135299792,6.7264685204921655,0.828025027342123,0.8352878159383667,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BBO,10000,117.94908573786559,6.540927860297752,0.7344188088227845,0.7365554006650744,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,BBO,10000,44.83685282321092,4.517633830468404,0.9219678128412555,0.9247473291931753,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BBO,10000,80.27175330136355,5.61756476822185,0.8065853505895196,0.8086646830226948,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,BBO,10000,81.70315928015874,6.194274307111447,0.8540095132921968,0.8540095784518185,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BBO,10000,44.14983493901829,3.639700343120809,0.8963937005164565,0.8968366917215231,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,BRO,10000,4514.497973872218,53.05289381549947,0.5095585748008299,0.5098981638032805,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BRO,10000,4291.742740996393,50.260541534780444,0.5540195777995498,0.5540197027622534,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,BRO,10000,3260.7334784072277,43.60029820892896,0.5641871030130587,0.5687775209844004,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BRO,10000,2927.6008330846294,41.336177670590935,0.5274106762467654,0.5288182483970103,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,BRO,10000,3389.649284547746,44.57387657746482,0.5229974767738712,0.5238822574594257,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BRO,10000,2687.9938320663637,40.564609963000336,0.6528756313653763,0.6532511352769257,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,CRO,10000,40.20331035705858,3.904939034116252,0.8574009511208154,0.8594311539813446,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,CRO,10000,63.56546060479857,5.405264198136675,0.8517185981766089,0.852394296202533,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,CRO,10000,59.18017444556159,4.163524967702669,0.8392478811375443,0.8400458103933794,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,CRO,10000,76.75616784565308,5.073828566052138,0.7308294407536556,0.7320525161796476,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,CRO,10000,71.0975464110217,4.463273861849054,0.8243949929304135,0.8245163445901436,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,CRO,10000,22.534117600133687,3.0803583557791563,0.945782356603691,0.9457833728159563,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,PSO,10000,195.12727656157148,11.716909216909217,-0.09411039685438327,0.020779195680099116,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,PSO,10000,137.9506606840691,8.844214739035715,-0.3394171086579427,-0.2849387573733395,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,PSO,10000,359.63333398139383,13.036987781954888,-0.4581453914404494,-0.4500915031428432,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,PSO,10000,172.84453406936075,11.131644240649084,-0.22714140987594167,-0.05935915263513869,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,PSO,10000,134.310797802275,8.878813628232235,0.08215064184823595,0.08255450311087775,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,PSO,10000,140.58506405535996,9.637720473970473,-0.33970281410706327,-0.22309005135150994,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,ACO,10000,913.9530901569658,23.06246813594499,0.2872032219013664,0.2872583849604813,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,ACO,10000,666.6668894942795,19.34665937803693,0.42796622345055435,0.4291736720960927,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,ACO,10000,694.4495830263281,19.157048817297266,0.3487928963609296,0.3543150697643387,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,ACO,10000,737.9026834328826,21.639708176915615,0.4041311000107033,0.4146235803709918,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,ACO,10000,549.4032588628968,16.5725522629437,0.5585163162547684,0.5606756774767047,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,ACO,10000,495.21141356789343,17.185615796422066,0.5475460013609841,0.554726716861832,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,BBO,10000,176.62790230515958,8.951903408811237,0.9322054774571623,0.9330766807582634,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BBO,10000,217.30364743173013,9.443400572563505,0.913427281591092,0.9135853368780142,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,BBO,10000,177.1195164481463,8.919135749026115,0.9286377761102809,0.9290200084237517,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BBO,10000,228.65932872523092,9.407901264876578,0.905953674965564,0.9064556781462243,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,BBO,10000,208.58875164068013,8.235415024431555,0.9327991182743443,0.9332782063632705,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BBO,10000,130.5045331768195,7.394617667273821,0.9461054243460503,0.9461418584055161,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,BRO,10000,31259.56201018716,148.9072772937874,-0.0007784484177115747,0.0,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BRO,10000,13385.97492899766,89.3555110279602,0.4774768884295163,0.47799979516891533,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,BRO,10000,12160.735369574291,83.94065558263209,0.4592143291100713,0.4593387659267648,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BRO,10000,12606.993207989646,86.18654686594385,0.5014055728513558,0.5014144448662712,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,BRO,10000,22828.46204532541,123.97138670041936,0.2068853894642242,0.20688774488964856,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BRO,10000,10274.011378980935,76.88867955076726,0.6001750931514959,0.6004560836715067,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,CRO,10000,265.7688311702284,10.434113200365202,0.8414033236528298,0.8429268620739835,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,CRO,10000,135.81985252088003,7.515875362689496,0.9238884738485569,0.9262850301652663,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,CRO,10000,117.3255696039764,6.839090407535348,0.9284526603171924,0.9285095333069606,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,CRO,10000,145.0390870544233,6.894786160664351,0.78554994611997,0.7963470685186276,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,CRO,10000,197.98580753194122,7.4630348475578465,0.8419304437187268,0.8530580656840095,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,CRO,10000,89.51652651982499,5.182357106431276,0.9462493664715934,0.9473091974081876,
